profession,platform,usage_score
0,mood_disorder,5
1,mood_disorder,5
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,2
0,mood_disorder,5
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,3
0,mood_disorder,2
0,mood_disorder,4
0,mood_disorder,5
9,mood_disorder,2
8,mood_disorder,2
0,mood_disorder,2
6,mood_disorder,3
0,mood_disorder,5
8,mood_disorder,3
0,mood_disorder,4
7,mood_disorder,3
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,4
0,mood_disorder,5
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,1
0,mood_disorder,2
4,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,1
0,mood_disorder,3
0,mood_disorder,3
0,mood_disorder,4
5,mood_disorder,5
0,mood_disorder,5
0,mood_disorder,3
2,mood_disorder,4
0,content_type_social_media,10
0,content_type_social_media,10
0,content_type_social_media,16
0,content_type_social_media,27
0,content_type_social_media,12
11,content_type_social_media,47
6,content_type_social_media,4
0,content_type_social_media,10
0,content_type_social_media,27
0,content_type_social_media,4
0,content_type_social_media,30
0,content_type_social_media,16
0,content_type_social_media,30
0,content_type_social_media,12
0,content_type_social_media,30
0,content_type_social_media,4
0,content_type_social_media,12
0,content_type_social_media,58
0,content_type_social_media,27
0,content_type_social_media,30
0,content_type_social_media,31
0,content_type_social_media,30
0,content_type_social_media,16
0,content_type_social_media,10
0,content_type_social_media,12
0,content_type_social_media,47
0,content_type_social_media,49
0,content_type_social_media,30
0,content_type_social_media,35
0,content_type_social_media,12
0,content_type_social_media,12
0,content_type_social_media,30
0,content_type_social_media,27
0,content_type_social_media,10
0,content_type_social_media,30
7,content_type_social_media,7
7,content_type_social_media,12
0,content_type_social_media,37
0,content_type_social_media,42
0,content_type_social_media,10
0,content_type_social_media,47
0,content_type_social_media,16
0,content_type_social_media,22
0,content_type_social_media,35
0,content_type_social_media,10
0,content_type_social_media,10
0,content_type_social_media,16
0,content_type_social_media,16
0,content_type_social_media,35
0,content_type_social_media,30
0,content_type_social_media,35
0,content_type_social_media,22
0,content_type_social_media,10
0,content_type_social_media,49
0,content_type_social_media,30
0,content_type_social_media,5
0,content_type_social_media,16
1,content_type_social_media,12
0,content_type_social_media,22
0,content_type_social_media,16
0,content_type_social_media,44
0,content_type_social_media,12
0,content_type_social_media,12
0,content_type_social_media,27
7,content_type_social_media,4
0,content_type_social_media,10
0,content_type_social_media,27
0,content_type_social_media,4
0,content_type_social_media,16
0,content_type_social_media,12
0,content_type_social_media,47
0,content_type_social_media,22
0,content_type_social_media,10
0,content_type_social_media,22
0,content_type_social_media,10
0,content_type_social_media,10
0,content_type_social_media,10
0,content_type_social_media,4
0,content_type_social_media,22
0,content_type_social_media,10
0,content_type_social_media,10
0,content_type_social_media,4
0,content_type_social_media,12
0,content_type_social_media,44
0,content_type_social_media,12
0,content_type_social_media,30
7,content_type_social_media,4
0,content_type_social_media,4
0,content_type_social_media,3
0,content_type_social_media,4
0,content_type_social_media,12
0,content_type_social_media,49
0,content_type_social_media,44
0,content_type_social_media,10
0,content_type_social_media,30
0,content_type_social_media,30
0,content_type_social_media,4
0,content_type_social_media,4
12,content_type_social_media,49
0,content_type_social_media,4
8,content_type_social_media,10
0,content_type_social_media,4
0,content_type_social_media,47
0,content_type_social_media,44
0,content_type_social_media,22
0,content_type_social_media,44
0,content_type_social_media,30
0,content_type_social_media,12
7,content_type_social_media,47
0,content_type_social_media,4
7,content_type_social_media,46
0,content_type_social_media,12
0,content_type_social_media,47
0,content_type_social_media,4
0,content_type_social_media,4
0,content_type_social_media,44
0,content_type_social_media,44
0,content_type_social_media,12
0,content_type_social_media,50
0,content_type_social_media,47
0,content_type_social_media,16
6,content_type_social_media,48
0,content_type_social_media,16
0,content_type_social_media,44
0,content_type_social_media,44
0,content_type_social_media,10
0,content_type_social_media,4
7,content_type_social_media,30
0,content_type_social_media,5
0,content_type_social_media,45
0,content_type_social_media,12
0,content_type_social_media,10
0,content_type_social_media,22
0,content_type_social_media,4
0,content_type_social_media,27
7,content_type_social_media,26
0,content_type_social_media,43
0,content_type_social_media,50
7,content_type_social_media,4
0,content_type_social_media,10
0,content_type_social_media,4
0,content_type_social_media,10
0,content_type_social_media,4
6,content_type_social_media,49
0,content_type_social_media,4
0,content_type_social_media,10
0,content_type_social_media,10
0,content_type_social_media,30
0,content_type_social_media,10
0,content_type_social_media,30
0,content_type_social_media,44
0,content_type_social_media,10
0,content_type_social_media,31
7,content_type_social_media,44
0,content_type_social_media,51
0,content_type_social_media,47
0,content_type_social_media,4
0,content_type_social_media,12
3,content_type_social_media,4
0,content_type_social_media,15
0,content_type_social_media,44
0,content_type_social_media,30
0,content_type_social_media,54
7,content_type_social_media,4
0,content_type_social_media,12
0,content_type_social_media,30
0,content_type_social_media,4
0,content_type_social_media,4
0,content_type_social_media,10
7,content_type_social_media,22
0,content_type_social_media,4
0,content_type_social_media,30
0,content_type_social_media,4
7,content_type_social_media,30
0,content_type_social_media,10
7,content_type_social_media,4
7,content_type_social_media,10
0,content_type_social_media,4
