date,depression,anxiety,social media
2022-10-02,65,80,57
2022-10-03,75,92,74
2022-10-04,75,96,74
2022-10-05,74,90,73
2022-10-06,77,93,74
2022-10-07,69,82,69
2022-10-08,61,76,56
2022-10-09,65,84,59
2022-10-10,79,99,76
2022-10-11,76,97,79
2022-10-12,80,93,81
2022-10-13,75,97,83
2022-10-14,72,86,75
2022-10-15,63,77,56
2022-10-16,69,83,62
2022-10-17,79,95,83
2022-10-18,79,98,85
2022-10-19,79,92,82
2022-10-20,78,90,79
2022-10-21,73,85,72
2022-10-22,64,75,55
2022-10-23,69,83,60
2022-10-24,79,91,77
2022-10-25,77,92,79
2022-10-26,79,93,79
2022-10-27,76,88,75
2022-10-28,74,84,72
2022-10-29,62,76,56
2022-10-30,66,79,58
2022-10-31,77,84,77
2022-11-01,78,90,78
2022-11-02,79,93,80
2022-11-03,86,91,82
2022-11-04,76,88,76
2022-11-05,66,78,64
2022-11-06,72,82,66
2022-11-07,85,95,88
2022-11-08,81,94,89
2022-11-09,77,89,85
2022-11-10,79,93,83
2022-11-11,85,85,73
2022-11-12,68,77,60
2022-11-13,72,82,66
2022-11-14,86,96,84
2022-11-15,86,90,88
2022-11-16,80,92,81
2022-11-17,79,89,81
2022-11-18,74,82,81
2022-11-19,63,78,62
2022-11-20,69,80,70
2022-11-21,76,89,86
2022-11-22,69,79,81
2022-11-23,65,76,77
2022-11-24,59,69,68
2022-11-25,56,70,61
2022-11-26,60,74,55
2022-11-27,64,82,63
2022-11-28,78,91,80
2022-11-29,81,95,84
2022-11-30,76,87,83
2022-12-01,77,85,79
2022-12-02,73,83,73
2022-12-03,59,77,59
2022-12-04,66,76,65
2022-12-05,79,91,82
2022-12-06,82,91,84
2022-12-07,83,90,81
2022-12-08,87,96,80
2022-12-09,70,75,67
2022-12-10,57,71,57
2022-12-11,72,87,64
2022-12-12,83,90,82
2022-12-13,78,83,79
2022-12-14,82,84,75
2022-12-15,88,81,74
2022-12-16,74,82,70
2022-12-17,61,76,54
2022-12-18,61,74,53
2022-12-19,71,80,69
2022-12-20,68,84,68
2022-12-21,66,79,63
2022-12-22,60,76,56
2022-12-23,54,70,49
2022-12-24,52,64,43
2022-12-25,54,64,38
2022-12-26,57,68,49
2022-12-27,61,78,53
2022-12-28,62,81,55
2022-12-29,63,80,55
2022-12-30,61,79,52
2022-12-31,56,78,48
2023-01-01,58,77,47
2023-01-02,65,83,61
2023-01-03,69,85,68
2023-01-04,71,91,71
2023-01-05,72,92,72
2023-01-06,68,88,67
2023-01-07,61,82,57
2023-01-08,67,92,59
2023-01-09,78,94,78
2023-01-10,78,96,79
2023-01-11,75,94,76
2023-01-12,81,96,76
2023-01-13,74,89,70
2023-01-14,62,79,54
2023-01-15,71,87,57
2023-01-16,74,89,72
2023-01-17,81,94,81
2023-01-18,77,93,75
2023-01-19,78,94,81
2023-01-20,75,87,73
2023-01-21,61,77,54
2023-01-22,69,86,59
2023-01-23,82,99,77
2023-01-24,82,93,78
2023-01-25,80,96,81
2023-01-26,85,89,77
2023-01-27,75,87,68
2023-01-28,60,71,53
2023-01-29,70,82,58
2023-01-30,82,92,74
2023-01-31,83,95,78
2023-02-01,76,90,76
2023-02-02,80,94,79
2023-02-03,76,87,70
2023-02-04,66,79,52
2023-02-05,69,82,58
2023-02-06,80,96,75
2023-02-07,80,94,76
2023-02-08,83,97,75
2023-02-09,81,97,74
2023-02-10,74,84,68
2023-02-11,61,72,51
2023-02-12,67,82,57
2023-02-13,74,87,74
2023-02-14,75,84,75
2023-02-15,77,93,75
2023-02-16,86,96,80
2023-02-17,77,84,67
2023-02-18,65,78,51
2023-02-19,70,85,58
2023-02-20,73,92,75
2023-02-21,85,97,80
2023-02-22,79,93,82
2023-02-23,79,90,75
2023-02-24,73,89,70
2023-02-25,62,81,56
2023-02-26,69,85,64
2023-02-27,84,100,82
2023-02-28,82,97,82
2023-03-01,79,94,82
2023-03-02,81,93,81
2023-03-03,76,87,69
2023-03-04,60,77,56
2023-03-05,65,81,61
2023-03-06,83,94,80
2023-03-07,82,95,80
2023-03-08,78,95,75
2023-03-09,80,89,77
2023-03-10,75,91,73
2023-03-11,60,77,55
2023-03-12,68,83,60
2023-03-13,83,94,76
2023-03-14,86,92,79
2023-03-15,82,92,78
2023-03-16,80,91,78
2023-03-17,69,86,68
2023-03-18,60,75,55
2023-03-19,68,80,58
2023-03-20,88,100,80
2023-03-21,84,95,81
2023-03-22,85,91,79
2023-03-23,78,92,77
2023-03-24,74,89,72
2023-03-25,58,78,59
2023-03-26,67,86,61
2023-03-27,86,97,81
2023-03-28,76,95,82
2023-03-29,79,93,79
2023-03-30,78,92,77
2023-03-31,68,83,68
2023-04-01,57,74,53
2023-04-02,64,84,58
2023-04-03,75,89,75
2023-04-04,73,89,74
2023-04-05,72,87,72
2023-04-06,67,84,69
2023-04-07,64,85,53
2023-04-08,57,83,54
2023-04-09,59,78,51
2023-04-10,73,92,66
2023-04-11,77,94,79
2023-04-12,79,89,74
2023-04-13,75,88,73
2023-04-14,69,83,67
2023-04-15,56,77,50
2023-04-16,64,80,59
2023-04-17,79,92,75
2023-04-18,75,90,83
2023-04-19,73,90,72
2023-04-20,71,87,71
2023-04-21,66,81,62
2023-04-22,57,74,50
